Pose: [[0.9801157971790133, -0.15338474479433467, 0.12588146878919174, -0.13147411064678238], [0.17198446898381003, 0.9730850232599071, -0.15338474479433467, 0.43047947486510535], [-0.09896649204909873, 0.17198446898381003, 0.9801157971790133, 0.4342629446766088], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[0.37937572598457336, 2.2174487113952637]]; s_p: [[2.0580332279205322, -0.8205152153968811, -0.09128589928150177]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.9800900780183229, -0.17379477162199106, 0.09601466724879987, -0.05031758118613616], [0.18842621125253836, 0.9665872646946441, -0.17379477162199106, 0.2974542742316388], [-0.06260193194344385, 0.18842621125253836, 0.9800900780183229, 0.4748412094069319], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[0.3541795313358307, 2.1255011558532715]]; s_p: [[1.9831737279891968, -0.7333225011825562, -0.21683059632778168]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.9800702427794553, -0.18883918443676354, 0.06166102204373208, -0.00702189286742072], [0.19723753322100487, 0.961996423023574, -0.18883918443676354, 0.11746758412329984], [-0.02365744506730602, 0.19723753322100487, 0.9800702427794553, 0.49648905356628964], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[0.2929827868938446, 2.0708541870117188]]; s_p: [[1.955599069595337, -0.5899340510368347, -0.3406566381454468]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.9800683232359101, -0.19725591545630417, 0.023583587662760634, -0.003313108156457689], [0.1979936755127516, 0.9601503050431461, -0.19725591545630417, -0.08106465464018853], [0.016266107294093217, 0.1979936755127516, 0.9800683232359101, 0.49834344592177116], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[0.20797394216060638, 2.06595778465271]]; s_p: [[1.9713279008865356, -0.4159999489784241, -0.4571557939052582]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.9800854837546018, -0.19784451275552842, -0.017029189823234047, -0.03933908459592639], [0.19065778734029978, 0.9615129520183432, -0.19784451275552842, -0.2667985668860865], [0.05551623780489093, 0.19065778734029978, 0.9800854837546018, 0.4803304577020368], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[0.11736667901277542, 2.1120612621307373]]; s_p: [[2.022927761077881, -0.2385205179452896, -0.5582778453826904]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.9801113150115409, -0.1896286704127901, -0.05850450874783453, -0.11366358019172806], [0.17558470841284454, 0.9660284558588601, -0.1896286704127901, -0.41041085178910436], [0.09247605288897434, 0.17558470841284454, 0.9801113150115409, 0.44316820990413597], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[0.03905181586742401, 2.1982741355895996]]; s_p: [[2.1027050018310547, -0.0821562111377716, -0.6358386874198914]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.9801301481143756, -0.1720535620776239, -0.09870392359827088, -0.22332351184896726], [0.15348528357891522, 0.9730569559389117, -0.1720535620776239, -0.48922828731080714], [0.12564696765935915, 0.15348528357891522, 0.9801301481143756, 0.38833824407551637], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[-0.015375319868326187, 2.3093979358673096]]; s_p: [[2.205442190170288, 0.0339120514690876, -0.6842462420463562]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.9801305591391782, -0.14518680066511033, -0.13514762282094067, -0.3639470841443958], [0.12535992434348767, 0.9814304266127194, -0.14518680066511033, -0.4908073334205465], [0.15371719620822122, 0.12535992434348767, 0.9801305591391782, 0.3180264579278021], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[-0.04230424016714096, 2.4352164268493652]]; s_p: [[2.329618215560913, 0.09861156344413757, -0.7024480104446411]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.9801122987632946, -0.10987416361950862, -0.1652499621235773, -0.5299280790139395], [0.09241709725830509, 0.9896397063089488, -0.10987416361950862, -0.4148986934576695], [0.17561025581462847, 0.09241709725830509, 0.9801122987632946, 0.23503596049303027], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[-0.044749822467565536, 2.574474573135376]]; s_p: [[2.476682662963867, 0.11090514808893204, -0.6940187811851501]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.9800864435021999, -0.06779529658295289, -0.18663965555165066, -0.7146493579754682], [0.055994463696962614, 0.9961267077016454, -0.06779529658295289, -0.27348667259269965], [0.19051294785000542, 0.055994463696962614, 0.9800864435021999, 0.14267532101226588], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[-0.03034413419663906, 2.732118606567383]]; s_p: [[2.6487233638763428, 0.08039788901805878, -0.6650364995002747]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.9800686768098911, -0.02137853889514269, -0.1975053083104811, -0.9107466665584911], [0.01749673774444671, 0.9996183382886745, -0.02137853889514269, -0.0888971195518824], [0.19788697002180658, 0.01749673774444671, 0.9800686768098911, 0.04462666672075441], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[-0.009086117148399353, 2.9124457836151123]]; s_p: [[2.845456123352051, 0.02585485950112343, -0.620525598526001]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.9800697757070483, 0.026432098014468348, -0.1968872239128013, -1.1104022238906457], [-0.021643894140517646, 0.9994162726516853, 0.026432098014468348, 0.10972733399579787], [0.1974709512611161, -0.021643894140517646, 0.9800697757070483, -0.055201111945322894], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[0.009355221875011921, 3.1128265857696533]]; s_p: [[3.0616867542266846, -0.028643593192100525, -0.561197817325592]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.9800890736188024, 0.07252118758383953, -0.1848407020233023, -1.3056563929506448], [-0.059988843593408905, 0.99556115633132, 0.07252118758383953, 0.29102825419079664], [0.18927954569198227, -0.059988843593408905, 0.9800890736188024, -0.15282819647532245], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[0.018004829064011574, 3.321959972381592]]; s_p: [[3.2862234115600586, -0.05917428433895111, -0.4823403060436249]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.9801148647072231, 0.11398461483546987, -0.16242647432223384, -1.4887250061782282], [-0.09610759718227338, 0.9888229555105703, 0.11398461483546987, 0.4263822121800062], [0.17360351881166347, -0.09610759718227338, 0.9801148647072231, -0.24436250308911414], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[0.013542990200221539, 3.5231685638427734]]; s_p: [[3.5027520656585693, -0.04744063690304756, -0.3757590055465698]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.9801315044417995, 0.14846498241087175, -0.13153092031303618, -1.652309695670429], [-0.12860029183032534, 0.980520328161989, 0.14846498241087175, 0.494419794160542], [0.15101059215104715, -0.12860029183032534, 0.9801315044417995, -0.32615484783521453], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[-0.004199703224003315, 3.700026273727417]]; s_p: [[3.6925792694091797, 0.015507827512919903, -0.23412103950977325]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.9801288993665717, 0.17436989185713814, -0.09456469446999125, -1.789888856078533], [-0.15613967000037426, 0.9722219624478272, 0.17436989185713814, 0.4843993619484239], [0.12234273202216411, -0.15613967000037426, 0.9801288993665717, -0.39494442803926655], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[-0.033394183963537216, 3.841078042984009]]; s_p: [[3.8385322093963623, 0.12823231518268585, -0.05575789883732796]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.9801086296885227, 0.19094108887986624, -0.054116306114305124, -1.8959776404332165], [-0.17753544640925698, 0.9654132098980399, 0.19094108887986624, 0.39790292146062384], [0.08870309621626521, -0.17753544640925698, 0.9801086296885227, -0.4479888202166082], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[-0.07120481133460999, 3.941784143447876]]; s_p: [[3.928861141204834, 0.28022757172584534, 0.1522657722234726]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.9800829907384209, 0.19818576258109977, -0.012638622368769916, -1.9663466236847769], [-0.1918142273281016, 0.9612126225267079, 0.19818576258109977, 0.24858635876593135], [0.05142599984206209, -0.1918142273281016, 0.9800829907384209, -0.4831733118423884], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[-0.1142636090517044, 4.003393173217773]]; s_p: [[3.959878921508789, 0.4544495642185211, 0.3741545081138611]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.9800675347551123, 0.19671336855701507, 0.027775491894631694, -1.9981904165331423], [-0.19830027382333074, 0.960198339944693, 0.19671336855701507, 0.060023475940393624], [0.012026168160675423, -0.19830027382333074, 0.9800675347551123, -0.4990952082665712], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[-0.15867213904857635, 4.02966833114624]]; s_p: [[3.936401605606079, 0.6298923492431641, 0.5883913040161133]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.9800716371148646, 0.18753298344440864, 0.06550546727891181, -1.9902395074463488], [-0.1966793294790228, 0.9623661576947318, 0.18753298344440864, -0.1380157939395959], [-0.02787162497364348, -0.1966793294790228, 0.9800716371148646, -0.4951197537231744], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[-0.19982649385929108, 4.023208141326904]]; s_p: [[3.8697760105133057, 0.7837434411048889, 0.7725178599357605]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.9800928093864676, 0.17185854581623125, 0.09941189676729682, -1.9428108740791417], [-0.18703036869073594, 0.9672043638328653, 0.17185854581623125, -0.31426540464859914], [-0.06661626060016214, -0.18703036869073594, 0.9800928093864676, -0.4714054370395708], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[-0.23243705928325653, 3.9833080768585205]]; s_p: [[3.7741401195526123, 0.8933975100517273, 0.9079926013946533]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.980118208769578, 0.15095103164690854, 0.12877143659619528, -1.8577953463741634], [-0.1698174979154291, 0.9738458827999825, 0.15095103164690854, -0.4408994180331249], [-0.1026173193961778, -0.1698174979154291, 0.980118208769578, -0.4288976731870817], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[-0.25096261501312256, 3.906524181365967]]; s_p: [[3.662210702896118, 0.9388719201087952, 0.9836984872817993]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.9801324283331545, 0.12600788836876528, 0.15317452463970183, -1.7385822251390002], [-0.1458440035279567, 0.9812499878745387, 0.12600788836876528, -0.49792510780917587], [-0.13442451251424042, -0.1458440035279567, 0.9801324283331545, -0.3692911125695001], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[-0.2503679692745209, 3.789630889892578]]; s_p: [[3.5420444011688232, 0.9058209657669067, 0.9973522424697876]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.9801268426655876, 0.09809764513921844, 0.1724187469636833, -1.5899241613185386], [-0.11617969214560268, 0.9883719599174661, 0.09809764513921844, -0.4763393714423104], [-0.16079070688114927, -0.11617969214560268, 0.9801268426655876, -0.2949620806592693], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[-0.22691848874092102, 3.633380889892578]]; s_p: [[3.4158129692077637, 0.7886949777603149, 0.9547982215881348]]; w_p: [[2.0, 0.0, 0.0]]
